URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCES,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUN,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,13,43,-0.535714276,0.05410628,18.29032258,0.234567901,7.409956193,18.29032258,266,1134,1.758377425,8,4.738977072
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,13,43,-0.535714276,0.05410628,18.29032258,0.234567901,7.409956193,18.29032258,266,1134,1.758377425,8,4.738977072
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,13,43,-0.535714276,0.05410628,18.29032258,0.234567901,7.409956193,18.29032258,266,1134,1.758377425,8,4.738977072
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,13,43,-0.535714276,0.05410628,18.29032258,0.234567901,7.409956193,18.29032258,266,1134,1.758377425,8,4.738977072
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,13,43,-0.535714276,0.05410628,18.29032258,0.234567901,7.409956193,18.29032258,266,1134,1.758377425,8,4.738977072
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,13,43,-0.535714276,0.05410628,18.29032258,0.234567901,7.409956193,18.29032258,266,1134,1.758377425,8,4.738977072
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,13,43,-0.535714276,0.05410628,18.29032258,0.234567901,7.409956193,18.29032258,266,1134,1.758377425,8,4.738977072
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,13,43,-0.535714276,0.05410628,18.29032258,0.234567901,7.409956193,18.29032258,266,1134,1.758377425,8,4.738977072
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,13,43,-0.535714276,0.05410628,18.29032258,0.234567901,7.409956193,18.29032258,266,1134,1.758377425,8,4.738977072
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,13,43,-0.535714276,0.05410628,18.29032258,0.234567901,7.409956193,18.29032258,266,1134,1.758377425,8,4.738977072
